Instrument,FOSS NIRS DS3
Date,2026-05-18
Method,Wheat NIR

SampleID,Protein,Moisture,Starch,Fat
S000,10.53,12.30,64.19,2.28
S001,10.71,12.11,60.63,2.61
S002,11.36,13.21,61.30,2.73
S003,13.76,13.55,64.60,2.58
S004,11.91,13.56,63.77,2.26
S005,11.31,12.62,62.39,2.02
S006,13.20,12.59,62.37,2.11
S007,12.15,12.25,62.32,2.73
S008,11.92,13.67,62.73,2.47
S009,12.03,12.77,60.96,2.15
S010,12.43,13.58,62.33,2.79
S011,11.76,13.41,60.97,2.51
S012,12.28,12.89,62.12,2.54
S013,12.64,13.96,64.06,2.90
S014,12.18,12.06,60.70,2.08
S015,12.19,12.53,62.21,2.64
S016,13.58,13.00,64.52,2.94
S017,11.56,12.33,64.26,2.48
S018,13.52,12.91,63.92,2.09
S019,11.62,13.76,63.35,2.88
