WinISI II Calibration Export - synthetic
Number of samples: 50
Number of wavelengths: 200
Wavelength range (nm): 1100-2500

Wavelengths:
1100.0 1107.0 1114.1 1121.1 1128.1 1135.2 1142.2 1149.2 1156.3 1163.3 1170.4 1177.4 1184.4 1191.5 1198.5 1205.5 1212.6 1219.6 1226.6 1233.7 1240.7 1247.7 1254.8 1261.8 1268.8 1275.9 1282.9 1289.9 1297.0 1304.0 1311.1 1318.1 1325.1 1332.2 1339.2 1346.2 1353.3 1360.3 1367.3 1374.4 1381.4 1388.4 1395.5 1402.5 1409.5 1416.6 1423.6 1430.7 1437.7 1444.7 1451.8 1458.8 1465.8 1472.9 1479.9 1486.9 1494.0 1501.0 1508.0 1515.1 1522.1 1529.1 1536.2 1543.2 1550.3 1557.3 1564.3 1571.4 1578.4 1585.4 1592.5 1599.5 1606.5 1613.6 1620.6 1627.6 1634.7 1641.7 1648.7 1655.8 1662.8 1669.8 1676.9 1683.9 1691.0 1698.0 1705.0 1712.1 1719.1 1726.1 1733.2 1740.2 1747.2 1754.3 1761.3 1768.3 1775.4 1782.4 1789.4 1796.5 1803.5 1810.6 1817.6 1824.6 1831.7 1838.7 1845.7 1852.8 1859.8 1866.8 1873.9 1880.9 1887.9 1895.0 1902.0 1909.0 1916.1 1923.1 1930.2 1937.2 1944.2 1951.3 1958.3 1965.3 1972.4 1979.4 1986.4 1993.5 2000.5 2007.5 2014.6 2021.6 2028.6 2035.7 2042.7 2049.7 2056.8 2063.8 2070.9 2077.9 2084.9 2092.0 2099.0 2106.0 2113.1 2120.1 2127.1 2134.2 2141.2 2148.2 2155.3 2162.3 2169.3 2176.4 2183.4 2190.5 2197.5 2204.5 2211.6 2218.6 2225.6 2232.7 2239.7 2246.7 2253.8 2260.8 2267.8 2274.9 2281.9 2288.9 2296.0 2303.0 2310.1 2317.1 2324.1 2331.2 2338.2 2345.2 2352.3 2359.3 2366.3 2373.4 2380.4 2387.4 2394.5 2401.5 2408.5 2415.6 2422.6 2429.6 2436.7 2443.7 2450.8 2457.8 2464.8 2471.9 2478.9 2485.9 2493.0 2500.0

Sample_ID Protein P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50 P51 P52 P53 P54 P55 P56 P57 P58 P59 P60 P61 P62 P63 P64 P65 P66 P67 P68 P69 P70 P71 P72 P73 P74 P75 P76 P77 P78 P79 P80 P81 P82 P83 P84 P85 P86 P87 P88 P89 P90 P91 P92 P93 P94 P95 P96 P97 P98 P99 P100 P101 P102 P103 P104 P105 P106 P107 P108 P109 P110 P111 P112 P113 P114 P115 P116 P117 P118 P119 P120 P121 P122 P123 P124 P125 P126 P127 P128 P129 P130 P131 P132 P133 P134 P135 P136 P137 P138 P139 P140 P141 P142 P143 P144 P145 P146 P147 P148 P149 P150 P151 P152 P153 P154 P155 P156 P157 P158 P159 P160 P161 P162 P163 P164 P165 P166 P167 P168 P169 P170 P171 P172 P173 P174 P175 P176 P177 P178 P179 P180 P181 P182 P183 P184 P185 P186 P187 P188 P189 P190 P191 P192 P193 P194 P195 P196 P197 P198 P199 P200
S000 10.532 0.03674 -0.00756 0.02342 0.15841 -0.00073 -0.01273 0.18108 0.09883 -0.13499 0.08685 -0.07886 -0.09997 -0.02915 -0.16715 -0.18031 -0.13597 -0.07171 -0.03322 -0.07439 -0.11731 0.20600 0.08551 -0.03784 -0.11592 -0.03250 0.07624 -0.05189 0.08269 -0.00758 0.00285 0.09196 0.32742 0.18184 0.03560 0.22732 0.02417 0.26232 -0.00035 0.23183 0.25126 0.40898 0.44077 0.38643 0.36793 0.21226 0.28439 0.43212 0.63189 0.47121 0.22999 0.37364 0.37391 0.38189 0.58681 0.56971 0.52572 0.29527 0.31883 0.46029 0.44115 0.15632 0.23249 0.10651 0.08878 0.32144 0.31957 0.15675 0.31367 0.13035 0.14069 0.09921 0.24123 0.05331 0.22320 -0.18801 0.14828 0.00953 -0.05216 0.16490 -0.19452 0.04043 -0.01712 0.16253 -0.02724 -0.02299 -0.14774 0.14384 0.02594 0.02152 0.06673 0.04436 0.17214 -0.02096 0.05962 0.03303 -0.08890 0.24828 0.14915 0.20090 0.24629 0.08383 0.19790 0.28430 0.30973 0.28682 0.42197 0.51877 0.44205 0.49867 0.44715 0.30757 0.47275 0.57746 0.88641 0.53061 0.61857 0.65328 0.58449 0.68643 0.71645 0.74263 0.54981 0.65561 0.51431 0.75145 0.82630 0.43292 0.48110 0.63970 0.51256 0.36911 0.49055 0.29950 0.44857 0.28769 0.53838 0.32578 0.32572 0.28654 0.13941 0.28717 0.36683 -0.00805 0.32883 0.10892 0.15465 0.00429 0.07775 0.10412 0.10228 0.15951 0.11194 -0.00580 0.13465 0.13402 0.08303 0.36993 0.20124 0.05727 0.26448 0.14360 0.32769 0.39150 0.28131 0.50053 0.31470 0.44630 0.52709 0.33292 0.31173 0.29858 0.24777 0.20735 0.26848 0.32453 0.16607 0.24958 0.33019 0.17018 0.36779 0.04322 0.00082 0.00614 0.13143 -0.02844 0.09514 0.03433 -0.03884 -0.03055 -0.20714 -0.08660 0.03219 -0.05201 -0.11658 0.07579 0.02952 -0.16354 0.05745 0.09015 -0.14659
S001 10.709 0.01188 0.08190 0.18946 0.07948 -0.20426 -0.06203 0.09171 0.05204 0.02410 0.43568 0.08443 0.07640 0.09956 -0.00018 0.00577 0.06673 -0.09393 -0.01868 -0.03799 0.06380 0.27475 -0.17733 0.12822 -0.11480 -0.03613 0.14203 0.04651 -0.02566 -0.02236 0.12803 0.11848 0.17665 0.09092 0.10553 0.38149 0.26432 0.00683 0.30246 0.19772 0.35118 0.26409 0.31302 0.39001 0.45494 0.24542 0.35248 0.32152 0.30559 0.54227 0.39059 0.25043 0.50115 0.62983 0.49346 0.12252 0.40841 0.54268 0.29481 0.46309 0.33079 0.28197 0.20375 -0.07658 0.04742 0.16759 0.06605 0.30752 0.02644 0.07783 0.08842 0.20334 -0.02787 0.14791 0.10167 0.00986 0.00300 0.11141 0.07370 0.04727 0.01718 0.08806 0.07740 0.19373 -0.16146 0.25124 -0.13537 0.05049 0.15790 0.04216 -0.02800 0.14411 0.02378 0.04335 0.18686 0.11413 0.14698 0.21557 0.14455 0.24839 0.17316 0.11657 0.15035 0.38398 0.33002 0.36973 0.43415 0.54442 0.33256 0.48867 0.35410 0.44473 0.56136 0.63148 0.74207 0.70339 0.46384 0.62237 0.55561 0.62278 0.53906 0.61029 0.58252 0.45001 0.81179 0.40742 0.45037 0.57601 0.67782 0.51406 0.52041 0.46121 0.30408 0.41229 0.33363 0.49301 0.34732 0.20662 0.23414 0.40894 0.21879 0.07788 0.21525 0.17459 0.09172 0.02441 0.12095 0.05114 -0.01761 -0.11148 0.11729 0.15859 0.20041 0.19314 0.01637 0.05711 0.06794 0.09218 0.00314 0.17570 0.08378 0.30810 0.37707 0.21780 0.36743 0.37256 0.23838 0.40957 0.34782 0.34786 0.26407 0.26969 0.32689 0.42680 0.34224 0.50728 0.13379 0.30113 0.16265 0.39033 0.03481 -0.00745 -0.00170 -0.21527 0.00624 -0.05343 0.00752 0.10186 0.13363 0.07968 -0.00248 -0.07158 0.04838 -0.11848 0.19272 0.04247 -0.06417 -0.09036 0.10249 -0.02733 0.09672
S002 11.361 -0.16376 -0.08905 0.02492 0.01465 -0.00620 0.00992 -0.12353 -0.02517 0.03530 0.01246 0.11786 -0.05190 -0.20118 0.10546 0.00959 0.06066 0.13869 0.10200 0.06300 -0.03203 0.18527 0.15021 -0.01719 0.08776 0.05548 0.23358 0.01149 0.17208 0.19857 -0.09283 -0.05148 -0.14517 0.11376 0.15311 0.25933 0.24372 0.45737 0.10265 0.12794 0.24720 0.25843 0.33552 0.15021 0.34210 0.22207 0.49482 0.37981 0.26974 0.30769 0.31179 0.35360 0.47317 0.27248 0.43516 0.25903 0.29757 0.40796 0.24144 0.34023 0.24462 0.51148 0.26139 0.16326 0.26997 0.15844 0.05275 0.23578 0.15097 0.01399 0.04239 0.05399 -0.22674 -0.07991 0.23905 0.15426 0.07835 0.01399 0.16724 0.31460 0.14461 -0.08290 -0.07408 -0.12359 0.04366 -0.07325 -0.15513 0.03114 -0.06150 0.29776 0.12183 0.04657 0.26817 0.01750 -0.04312 0.32492 0.12838 -0.04494 0.24206 0.02957 0.07809 0.32466 0.30141 0.12102 0.37688 0.27522 0.34372 0.29337 0.34574 0.39095 0.29026 0.42833 0.40903 0.53317 0.35770 0.49574 0.61521 0.60871 0.54232 0.56531 0.68560 0.41453 0.62318 0.61922 0.54679 0.53864 0.38912 0.33409 0.58912 0.41665 0.34529 0.44272 0.27026 0.32937 0.26760 0.26781 0.29844 0.22673 0.21766 0.29268 0.30667 0.26234 -0.04073 0.17525 0.22776 -0.07485 0.05298 0.18145 0.05397 0.10681 -0.00230 0.07654 0.09598 0.20403 0.12466 0.14003 0.09491 0.07166 0.09831 0.24331 0.09255 0.17953 0.36801 0.34231 0.14564 0.43632 0.26505 0.17744 0.19748 0.13568 0.34850 0.38701 0.43260 0.31911 0.24506 0.32657 -0.03755 0.25624 0.12432 -0.05214 0.23112 0.13144 0.08414 0.16737 0.24577 0.10731 0.00643 0.01279 0.01394 0.14946 -0.07656 -0.00699 -0.12264 0.06440 -0.02180 0.06446 -0.11033 -0.04989 -0.09921 -0.03071 0.00773
S003 13.760 0.12919 -0.10258 0.04764 0.14697 0.13965 0.20462 -0.09527 -0.20048 -0.18835 0.16203 0.04699 -0.08757 -0.01284 -0.03756 0.31927 -0.02748 0.04970 0.02027 0.12681 0.04547 -0.01789 -0.02147 0.24341 0.16049 0.23417 0.03383 -0.04837 0.01399 0.11180 0.18567 -0.12019 0.21452 0.03422 0.07335 0.11443 0.02400 0.25747 0.27097 0.07497 0.14318 0.24746 0.51738 0.22723 0.15837 0.26210 0.34361 0.18757 0.37608 0.36530 0.53115 0.65708 0.52457 0.41809 0.23760 0.71685 0.48989 0.38762 0.23523 0.31388 0.31715 0.20067 0.26581 0.26076 0.12300 0.12164 0.13676 0.11676 0.25587 -0.08996 0.31599 0.14024 -0.22865 0.01749 -0.05842 -0.09176 -0.00028 -0.00164 0.21587 0.11148 0.05389 0.09823 -0.08449 0.00541 0.04143 -0.11309 0.03219 -0.09891 -0.04730 0.04516 0.12191 0.00785 0.16928 -0.06543 0.00477 0.25374 0.05356 0.16335 -0.02838 0.32985 0.19809 0.13748 0.33901 0.29069 0.15690 0.16132 0.36456 0.15325 0.56829 0.23321 0.67332 0.37990 0.42652 0.42855 0.56961 0.53456 0.66321 0.60169 0.54796 0.59391 0.60214 0.60066 0.49172 0.51967 0.68886 0.42264 0.60316 0.56805 0.64337 0.49622 0.46790 0.50757 0.38991 0.53641 0.21160 0.37033 0.35300 0.34162 0.37449 0.35337 0.24661 -0.01581 0.09754 0.18269 0.19700 0.23707 0.04124 0.03650 -0.00451 0.01048 -0.08804 -0.01687 -0.04256 0.01628 0.16647 -0.10795 0.33197 0.15868 0.20459 0.03176 0.26538 0.15238 0.23655 0.55125 0.23122 0.38244 0.24378 0.29253 0.53796 0.23818 0.52366 0.38521 0.25671 0.32059 0.33528 0.29437 0.05190 0.09752 0.20377 0.06106 0.15422 0.01463 -0.05627 0.02692 0.08048 0.06177 0.13963 0.06806 0.02464 0.07052 -0.14806 0.01738 0.00980 0.11041 -0.13883 -0.14221 0.07128 -0.03129 0.03849 -0.06111 -0.05321
S004 11.910 0.05240 -0.02197 -0.00937 -0.05648 0.02021 0.03406 0.00842 -0.07898 0.08297 -0.05398 -0.02778 -0.06174 0.10610 -0.01604 0.12288 -0.20948 0.08276 0.07044 0.01123 0.05304 -0.03549 0.14566 0.25369 0.06977 0.00411 0.15396 0.18072 0.04729 0.10585 0.08366 0.01431 0.07129 0.12331 0.00032 0.22785 0.29534 0.33679 0.13140 0.35878 0.27258 0.32865 0.46382 0.34053 0.52544 0.42934 0.48043 0.58394 0.77956 0.45086 0.48602 0.45265 0.48415 0.42603 0.62826 0.54827 0.37291 0.32710 0.45003 0.29556 0.40777 0.28880 0.19268 0.43999 0.35661 0.13292 0.18872 0.18814 0.16288 0.20568 0.34282 0.01802 0.03999 -0.09899 -0.00660 0.05249 0.20251 -0.06013 0.04580 0.11363 0.08239 0.36784 -0.03542 -0.01522 0.08451 0.06770 0.20243 0.05506 0.00987 0.10356 0.27820 0.10990 0.15485 0.23240 0.19267 0.31934 0.21087 0.04534 0.25668 0.29771 0.12418 0.35624 0.25622 0.39065 0.56007 0.38901 0.47722 0.28999 0.68060 0.55421 0.82100 0.59257 0.64505 0.62296 0.80367 0.55565 0.72849 0.78108 0.73830 0.52640 0.67904 0.79252 0.63057 0.73897 0.62185 0.83757 0.46557 0.62392 0.68834 0.77767 0.56004 0.58367 0.73115 0.29502 0.25013 0.50838 0.31641 0.31804 0.42598 0.21454 0.23820 0.10491 0.34240 0.31715 0.18306 0.43126 0.02940 0.00810 0.08672 0.09488 0.15883 0.03582 0.10107 -0.10295 0.24896 0.10940 0.28523 0.20600 0.18556 0.17812 0.27574 0.36084 0.44465 0.38062 0.39806 0.33309 0.49528 0.33413 0.58991 0.42137 0.25880 0.40009 0.26577 0.47689 0.25303 0.22710 0.01888 0.09838 -0.00032 0.01493 0.11246 0.20990 0.16101 -0.03540 0.11625 0.04056 -0.16509 0.18378 0.11045 -0.04518 0.03606 -0.05949 -0.15270 -0.06741 -0.11670 -0.10541 -0.00620 0.18812 0.02704 -0.08237 0.00063
S005 11.314 0.12873 0.14626 0.00581 -0.02164 0.14272 0.01013 0.08044 0.17243 0.17766 -0.13648 0.15201 0.02102 0.25051 -0.10395 0.13455 -0.01016 -0.08872 -0.00114 -0.08277 0.02188 -0.02377 0.00978 0.08201 0.22367 0.18946 0.10471 0.12386 0.08790 0.09235 -0.10558 0.00931 -0.05782 0.12851 0.21314 0.08128 0.28142 0.01611 0.15053 0.30749 0.45370 0.47951 0.23780 0.49933 0.33855 0.35487 0.46228 0.30650 0.32111 0.57771 0.56394 0.34459 0.45562 0.42192 0.45082 0.26228 0.31101 0.37836 0.44224 0.38834 0.20819 0.30231 -0.02136 0.37866 -0.05937 0.17727 0.02821 0.00920 0.17960 0.02468 0.18194 0.08237 0.10190 0.06457 -0.05031 0.16738 -0.01388 -0.06700 0.03566 0.19776 0.11288 0.02225 0.00513 0.04626 0.28000 0.01753 0.02279 0.10685 0.11737 -0.05321 0.05951 0.07940 0.13304 0.17181 0.04071 0.14189 0.06462 0.12925 -0.04293 0.21837 0.31333 0.25991 0.02624 0.53967 0.32622 0.39557 0.25701 0.36578 0.33286 0.35040 0.61050 0.38138 0.38029 0.53674 0.62430 0.52937 0.57562 0.83138 0.65086 0.65805 0.63069 0.58738 0.80752 0.74226 0.45146 0.64498 0.46510 0.54062 0.41687 0.51669 0.50691 0.40786 0.43772 0.58226 0.43435 0.32767 0.45766 0.39135 0.15310 0.13504 0.26975 0.20960 0.29939 0.12446 0.10603 0.16260 0.14444 0.03444 -0.13844 0.23428 -0.02280 -0.04193 -0.17704 -0.01143 -0.01634 0.14906 0.28083 0.06036 0.34555 0.28654 0.06120 -0.09172 0.44067 0.17298 0.10143 0.41500 0.52279 0.48413 0.46891 0.43894 0.40563 0.42261 0.35305 0.31039 0.29913 0.20259 0.16035 0.02977 0.11135 -0.02937 -0.03041 0.08818 0.11359 0.17860 -0.26276 0.06068 0.18632 -0.09924 -0.01367 0.07578 -0.12256 0.02259 -0.13906 -0.06389 0.04164 -0.22462 0.04623 0.00633 0.06176 0.01164 0.19333
S006 13.205 -0.00513 -0.03153 0.07716 0.05046 0.01575 -0.00056 -0.00805 -0.07878 -0.07554 0.17054 -0.16632 -0.03392 -0.08518 0.12304 -0.16263 0.12942 -0.08462 -0.01788 -0.10172 0.19790 -0.10590 -0.01826 0.10299 0.13907 0.03151 0.07122 0.11189 0.11030 0.26493 0.28453 0.01176 0.02223 0.16481 0.45471 0.19320 0.36600 0.41408 0.14490 0.43771 0.44497 0.27030 0.30992 0.28011 0.25394 0.32018 0.23765 0.40679 0.47437 0.52205 0.35708 0.55923 0.63964 0.17039 0.42460 0.51845 0.27571 0.55412 0.40102 0.29976 0.33200 0.33114 0.18548 0.26604 0.11778 0.21806 -0.00726 0.13326 0.00170 0.05004 0.18270 0.16398 0.07901 -0.04547 -0.01399 0.21874 0.07916 0.26718 0.03357 0.06900 0.03225 0.04811 0.09267 0.12271 0.17250 -0.03747 -0.06052 -0.17917 0.07877 -0.03420 -0.13051 0.14219 0.39388 0.03069 0.15208 0.15247 0.10401 0.42969 0.18588 0.23356 0.24007 0.16703 0.38383 0.29744 0.23791 0.40384 0.36906 0.49163 0.45894 0.51591 0.57507 0.60103 0.69977 0.74716 0.71817 0.61249 0.52395 0.49534 0.62917 0.65670 0.60591 0.61635 0.70805 0.62510 0.71479 0.60474 0.49385 0.42905 0.61546 0.38569 0.49109 0.66047 0.57816 0.36493 0.47902 0.40056 0.37340 0.29879 0.27663 0.26315 0.26868 0.17370 0.13582 0.21894 0.27681 0.28528 0.02088 -0.10805 0.18407 -0.11135 0.08458 -0.00961 -0.22091 0.09190 0.12507 0.03997 -0.19564 0.06305 0.16810 0.00705 0.17191 0.18460 0.25181 0.30850 0.23684 0.41173 0.41133 0.34758 0.35753 0.29909 0.17965 0.35927 0.52082 0.17735 0.09106 0.39913 0.17536 0.10816 0.30592 0.08037 0.31952 0.14049 -0.00044 0.20789 -0.04188 -0.06462 0.01995 0.13982 0.19381 -0.00383 -0.05371 -0.06023 -0.06885 0.11846 -0.04609 -0.04549 0.08252 -0.11601 -0.09617 0.11911 -0.10135
S007 12.155 -0.13185 0.07509 0.04938 0.10167 0.08035 -0.03416 -0.09379 0.06695 -0.06070 -0.06696 0.04341 0.00565 0.16988 0.24995 0.03544 0.13940 -0.02466 0.01647 0.19344 0.08688 0.04293 0.05428 0.15593 -0.05637 -0.07836 -0.13942 0.25566 -0.02976 0.13062 0.07028 0.09446 0.21491 0.22568 0.19898 0.25285 0.27105 0.17627 0.39312 0.37272 0.44252 0.42883 0.50288 0.42498 0.33084 0.40539 0.38444 0.43729 0.65378 0.62730 0.56060 0.59272 0.78245 0.62718 0.78591 0.54629 0.28573 0.53676 0.46583 0.57995 0.48396 0.38268 0.27825 0.38069 0.20076 0.24842 0.26583 0.42525 0.26766 0.08385 0.18200 0.20087 -0.03230 0.06876 0.14996 -0.03262 0.15675 0.07574 0.06796 0.01332 -0.15546 0.04365 -0.05039 0.16577 0.01355 0.07756 0.15870 -0.05985 -0.16363 -0.14436 0.22580 0.00514 0.28281 0.11296 0.22599 0.38853 0.38682 0.43643 0.41213 0.31861 0.39009 0.39538 0.32412 0.29192 0.46070 0.42282 0.34195 0.63657 0.57507 0.63038 0.73311 0.56412 0.68476 0.62302 0.53536 0.73009 0.62197 0.90642 0.76726 0.67331 0.89885 0.83307 0.90448 0.78893 0.65041 0.70358 0.80981 0.90907 0.78874 0.64276 0.48907 0.57686 0.37680 0.52320 0.48944 0.38142 0.28610 0.50198 0.26897 0.20402 0.03390 0.24540 0.44379 0.41233 0.20376 0.08358 0.15467 0.02273 0.10509 0.21602 0.16646 0.20223 0.13716 0.00645 0.05930 0.00354 0.28500 0.20273 0.07794 0.24839 0.22033 0.19947 0.22241 0.05734 0.39455 0.42296 0.39686 0.37387 0.45519 0.31933 0.51249 0.52325 0.22600 0.37954 0.20113 0.32811 0.30296 0.07343 0.35019 0.06600 0.11062 0.11104 0.14342 0.06600 -0.04126 0.03802 0.06097 0.15924 0.06480 -0.00052 -0.00292 0.01735 -0.27165 0.09381 0.10017 -0.23829 -0.11328 0.05160 0.23627 0.02049 -0.07435
S008 11.919 0.05722 -0.01080 -0.03903 -0.04393 0.00921 -0.09838 0.02294 0.21216 0.10741 -0.03952 -0.01481 -0.07101 -0.01603 -0.03981 0.05852 0.37824 0.06161 -0.09036 -0.07742 0.09714 0.10370 -0.15647 0.12036 -0.07566 0.26480 0.12402 0.00220 0.10596 -0.00021 0.17249 0.08376 0.13846 -0.03172 0.21806 0.14320 0.13923 0.07018 0.23920 0.42578 0.17242 0.41774 0.48641 0.41495 0.45533 0.35326 0.32337 0.40065 0.60958 0.54362 0.80496 0.59092 0.46523 0.44426 0.35452 0.43030 0.32133 0.43286 0.43347 0.28228 0.47508 0.35443 0.34711 0.07054 0.20969 0.30135 0.21596 0.12224 0.09052 0.31167 0.16757 0.12867 0.05997 0.06023 -0.11594 0.23123 -0.02510 0.11743 0.27283 0.11935 -0.06523 0.04954 -0.04022 0.00971 0.02824 -0.05761 0.22469 -0.02799 0.09668 0.03442 0.16284 0.18202 0.03081 0.14917 -0.02548 0.12602 0.43892 0.00451 0.12464 0.25737 0.24150 0.28278 0.32107 0.41083 0.47161 0.41915 0.20873 0.49419 0.54631 0.48479 0.46783 0.58064 0.51436 0.31377 0.72701 0.54891 0.68973 0.67819 0.66450 0.71366 0.63951 0.60627 0.61667 0.70214 0.71995 0.50671 0.65111 0.52354 0.58352 0.47544 0.73158 0.49308 0.44889 0.49691 0.34291 0.38752 0.18665 0.20211 0.14961 0.36399 0.38887 0.12271 0.16385 0.13221 0.29053 0.01955 0.20853 0.29267 0.18682 0.03406 0.26024 -0.11187 0.14601 0.07876 -0.12846 0.04784 0.20110 0.19012 0.15764 0.32114 0.31914 0.35245 0.29541 0.28364 0.11172 0.22887 0.27118 0.63014 0.39342 0.34052 0.35531 0.34011 0.57897 0.27714 0.33400 0.21936 0.10685 0.13158 0.18635 0.05908 -0.03549 -0.02173 0.11784 -0.15746 0.15362 0.11901 -0.12669 -0.05833 -0.05976 0.01068 0.10738 -0.16315 -0.06696 -0.08713 0.06876 0.02060 -0.05779 0.06199 -0.07430 0.13755 -0.04662
S009 12.031 0.22855 -0.03233 -0.06719 -0.15670 -0.12850 -0.22367 -0.08711 0.04067 -0.13404 0.09802 0.01453 0.03821 0.13527 -0.02361 -0.03477 -0.03254 -0.22803 -0.06176 0.01117 -0.13521 0.03607 0.11216 -0.00299 -0.08671 0.05609 -0.01529 -0.02979 0.23841 0.16265 0.09676 0.21355 0.12219 0.24094 0.13923 0.14080 0.25918 0.16664 0.27444 0.32490 0.31603 0.35324 0.22688 0.38528 0.51073 0.49629 0.38623 0.64094 0.41439 0.62511 0.69574 0.44228 0.71294 0.40322 0.61012 0.59890 0.44372 0.52896 0.47792 0.48535 0.36097 0.24139 0.37118 0.37680 0.23477 0.41002 -0.03125 0.26852 0.28577 0.05717 0.02650 -0.00228 0.04139 -0.00152 0.16305 0.23132 0.23448 0.01831 -0.00545 -0.09623 -0.03129 0.13585 0.16377 -0.11409 -0.01872 0.16009 0.08898 -0.05915 0.06096 -0.00260 0.18744 0.12684 0.15189 0.05882 0.14039 0.18779 0.11191 0.14178 0.46643 0.35450 0.28630 0.41395 0.32437 0.58398 0.43684 0.44837 0.43539 0.29781 0.35614 0.50525 0.47870 0.77490 0.72321 0.69791 0.72468 0.60900 0.70310 0.63147 0.75399 0.75406 0.72809 0.51497 0.79413 0.61236 0.77555 0.94556 0.70122 0.46088 0.50669 0.76754 0.73928 0.41465 0.56365 0.44265 0.41021 0.73117 0.20285 0.43446 0.51814 0.37086 0.29473 0.17556 0.19003 0.27828 0.19774 0.24076 0.16300 0.30346 0.20644 0.19807 0.02453 -0.10166 0.17192 0.02596 -0.02546 0.04522 0.30189 -0.07720 0.43135 0.35697 0.15232 0.23599 0.31959 0.38108 0.43490 0.47700 0.42241 0.39469 0.40715 0.39398 0.58962 0.44852 0.14705 0.43644 0.32985 0.32908 0.18711 0.36921 0.29440 0.04865 0.19297 0.02983 -0.00269 0.04456 0.15479 0.07112 0.19683 0.01857 0.11028 -0.03501 -0.01049 0.07709 0.07357 0.18547 0.03596 0.02253 -0.00951 0.08425 -0.14162 0.00009 -0.07953
