Perten DA 7250 export
Method,wheat-nir-v2
Date,2026-05-18

SampleID,Date,Time,Operator,Moisture,Protein,Starch,Hardness,Test_Weight
P000,2026-05-18,10:30:00,JD,13.75,13.96,63.49,65.5,79.44
P001,2026-05-18,10:30:02,JD,12.59,14.24,64.05,68.0,81.65
P002,2026-05-18,10:30:04,JD,13.02,13.01,63.99,64.7,80.81
P003,2026-05-18,10:30:06,JD,13.59,14.56,61.69,60.6,78.38
P004,2026-05-18,10:30:08,JD,13.16,11.14,62.33,63.1,79.15
P005,2026-05-18,10:30:10,JD,13.18,11.12,60.19,67.3,79.44
P006,2026-05-18,10:30:12,JD,12.25,13.09,63.85,58.2,80.49
P007,2026-05-18,10:30:14,JD,12.17,11.21,62.66,63.1,80.55
P008,2026-05-18,10:30:16,JD,13.45,14.90,62.58,59.8,81.18
P009,2026-05-18,10:30:18,JD,12.54,12.76,60.39,55.4,81.85
P010,2026-05-18,10:30:20,JD,13.67,13.78,62.04,57.6,78.63
P011,2026-05-18,10:30:22,JD,12.50,13.20,63.57,64.9,79.12
P012,2026-05-18,10:30:24,JD,13.91,13.95,62.77,64.2,79.68
P013,2026-05-18,10:30:26,JD,12.50,12.42,63.79,55.2,78.46
P014,2026-05-18,10:30:28,JD,12.09,11.16,64.28,65.6,79.90
P015,2026-05-18,10:30:30,JD,12.20,12.97,62.37,57.6,79.74
P016,2026-05-18,10:30:32,JD,12.80,13.46,63.18,55.7,79.50
P017,2026-05-18,10:30:34,JD,13.25,13.01,64.28,64.9,78.65
P018,2026-05-18,10:30:36,JD,12.14,13.57,60.13,63.8,81.76
P019,2026-05-18,10:30:38,JD,13.15,12.55,63.22,61.9,80.18
P020,2026-05-18,10:30:40,JD,13.88,12.54,64.81,68.6,78.78
P021,2026-05-18,10:30:42,JD,12.14,11.40,60.09,56.4,80.73
P022,2026-05-18,10:30:44,JD,12.14,12.28,64.22,55.3,81.26
P023,2026-05-18,10:30:46,JD,12.56,11.47,63.48,64.4,81.51
P024,2026-05-18,10:30:48,JD,13.47,14.21,61.41,57.7,81.00
P025,2026-05-18,10:30:50,JD,13.61,14.96,62.06,60.6,81.11
P026,2026-05-18,10:30:52,JD,12.68,14.72,64.29,61.4,81.00
P027,2026-05-18,10:30:54,JD,13.51,11.41,64.51,62.6,81.31
P028,2026-05-18,10:30:56,JD,12.64,14.58,61.95,55.2,81.62
P029,2026-05-18,10:30:58,JD,12.18,12.28,64.75,69.3,80.29
